,post
5222,if that is true how come theyre all coming in bearing the tool of their own undoing in the hand like a mark snip
2200,racist bubble  you mean one where were constantly exposed to antiwhite rhetoric  give me a break 
6004,I reported a video on YouTube for animal abuse My report got rejected it was footage of a black man being beaten
114,most jews follow  embrace their leaders anti white hate  thus most jews are not really  good people  like ramz says 
6283,I believe in equal rights for gay people but I wish they wouldnt kiss in public Its gross
2609,from liberal white guilt or something  u think nationalism is white nationalism  this is bigger than race  first is good 4 all americans
188,you are just a video peddler you are misusing ns  ah  not even knowing aryan race  you must be a jew
4001,while the nonwhite man is free to express his own national and racial identity 
1091,nonwhite candidate for london mayor  there are too many white men  read more 
4943,glad not to live in ca taxpayers pay over 13 for state  over 7 for sale taxes i wonder if there are city taxes lets pay for illegals
653,only white people ended slavery 
6303,Teacher  Black men are naturally more aggressive and strong than white men Me No it has to depend on the man surely Teacher  Not really no white man could Me Your husband is 6ft tall well built and my dad is 57ft and very lean your husband could wipe the floor with him Teacher  There are odd exceptions but in general I was 15 Secondary School England 2001 Made me feel gobsmacked worried that I would be graded unfairly
4000,what will take for a black person who kills a white person to actually be charged with a hate crime 
155,unity among white people is what makes america great  minorities and diversity make america weak and our society crumble 
5876,How many Jews does it take to cook a dinner Two One in the fire one above the fire
3923,lol  the white race will soon be extinct like in the beginning of humanity when the human race was black
669,so  if islam is innocuous  why were the crusades launched 
6297,WHY are you Atheist
4879,but we should support other races aborting their kids
5785,Freedom IS more important than safety these urine soaked socialist piece of shit fags never put a gun in their hands  fought 4 R country I have no problem wiping these high school commies off the face of R earth  or them killing eachother  Im glad they go home  play 10 hours of PlayStation itll prepares them 4 Whats coming 4 threatening R 1st  2 Nd amendment
1838,obama created this level of misguided hate in america  these people are feral animals  who
2029,race realist and proud white altrighter using color of crime references
2695,refuses to denounce dr  david duke  makeamericagreatagain votetrump
4816,oh but evil gulf countries are just sooo misogynistic told me so
4342,aside from your other defects you need to learn to read go back again read it think about it
4047, expulsion of white farmers has destroyed zimbabwe
439,keep up the good work  ice 
6170,volkswagen gas emissions scandal  the germans are still trying to gas us 
3388,white nationalism is horrible but jews have a right to a state of their own in palestine   
2175,jared taylor is an antiwhite cuckservative and his supporters are traitorous trash 
5854,Everyone is so politically correct these days You cant even say black paint You have to say tyrone can you paint that wall please
3883,germany spent 20 billion on invasion in 2016 swrm germany immigrants via
754, iranian military leader  islamic revolutionary guards will be in us  europe very soon banislam
4412,very very sad times the folks might as well be on an island isolated with the hoards at the gates even lee may have went around chicago
1905,you are a white anti white  the worst kind 
2349,cair national think you might be surprised how far americans can turn the clock back when weve had enough 
5110,cut off all funds to sanctuary cities if they cant live by the law they need to be own there own
6084,most boys ihatethiskid Im not sexist but all the internet does is show that most girls dont know how to form their own opinions
5717,violate federal law go to jail round them up  do your job
882,the only problem has with the kkk is that they are white 
5200,if they are illegal yes they go and must come back like legals to the back of the line amnesty and you are done
5280,this has got to stop petition2fire lopez attempt 2indoctrinate our kids
1383, poland is looking to protect its peoplemuslims bring with them the baggage of islam  this poses a potential threat 
1371, so basically your ok with no firing blacks and affirmative action but firing whites because   muh free market    ok  
3408,you expect them to tolerate antiwhite terrorists 
5981,What happens when God lowers the graphics and increases the difficulty  We all turn black
3238,absolutely not  white protestant christians built america and
4715,in an effort to cement her racial equality bona fides she brought home the wrong token black guy
4977,does a muslim ban really matter that much if we actually wanted progress wed need a hispanic ban
4848,protecting our citizens from ms13 heroin and isis ill buy the first brick
4501,bless her heart when she joined antifa the terrortrainer supervis
4102,my post on why gay people need to concede marriage   
534, soon they will be asking   how can remaining whites integrate into dutch muslim mainstream culture   
1568, awesome  estonian politician    i dont want blacks in estonia  this is a white country   
4201,it has its place that place is the middleeast not the civilised world
5290,deport her to syria and never let her return traitor bitch killary
6001,Whats the difference between Harry Potter and the Jews Harry was looking for the chamber
2780,yes white people in general are the new jews for the new kkk  antifa 
3387,white man march 20 whitemanmarch
1125,they are not the future     paul krugman    gloats over demise of white america
2502,you already do hate yourselves i think  born here  speak the language  white  yet you cannot compete with an illegal alien 
1942, rt  the media is fake news  the splc and adl have no legitimacy  they hate white people and the south
2562, survey finds 70 percent support for deporting illegal immigrants afire tcot teaparty 
4253,why is it up to us to accept that assertion instead of muslims proving it what muslim controlled country is in good shape
2046,then join your family and fix your future altright whitenationalist npievents redice
152,trump supports jews  jews support whitegenocide  get the picture 
2618,heres a fact  if america was 100  white it would be vibrant  prosperous 
1731,white zioner dream state
5023,lol lib welfarepets hey ferguson retardsits pantsupdontloot when grandjury clears officer darrenwilson
3474,credibility of white race will be lost if they resort to lies  cheating on taliban  isis
1555,why should the white race not enjoy a homeland of their own making  why should anyone actively seek to replace them  that makes no sense 
5113,refugees can go right to social security and all other social benefits day one
5949,My sense of humour is so dark It pays child support
71,can whites have black artists shoved down their throats without losing their own culture and heritage 
5528,resettle them in guantanamo
1730,white people seemingly are the only truly altruistic ethnic group  ive seen more white people help complete strangers and animals with zero reciprocityfor a society bent on white genocide they would fall apart without us 
5563,i heard hunting season has begun for vandals everyone get your rifles out and get them locked and loaded
5848,Whats the difference between a black person and a bicycle The bicycle doesnt start singing when you put chains on it
4043,islamophobia khomeini sexually assaulting crying and screaming 4 year old girl  with parental
4503,view if we lose power everything our ancestors built will be flushed down toilet and we
2593,dems have also invented a vast black  white right wing nationalist uncle tom conspiracy  a 1000 legged centipede monster
5150,take it one step further eliminate the refugee program send them home
5064,lets start issuing boarder zone hunting licenses nonlethal of course
3297,it has nothing to do with being american but everything to with the preservation of the white race 
1744, assaults white student and blames   white violence    blm whitegenocide blacklivesmatter 
197,   heritage not hate  guys  the entire csa was black    
2527, philosem  expectedphilo white    racist     hate   antiracist is a code word for antiwhite whitegenocide 
3191,youve proven nothing except that you hate white people and wish to bring down whites 
3734,just polishing my horns and infiltrating shitlib forums because all the good altright o
2749,we hindus offer lord krishnas package to muslimsgive us 3 temples and keep 39997 masjids  i hope muslim leaders dont become duryodhans
1529,this is part of their autovictimisation  to justify the jihad  since ever   
1358, 2 million   natives   dont get dibs on all of north america  white settlers built what refugees are flocking to  
5258,feds only deport half of illegal aliens arrested for crimes in america immigration tcot afire
3099,islam was taking white slaves up even to iceland until the 1890s  yet who is condemned 4 slavery  white people  its whitegenocide propaganda
2491,white people built everything in this countrymaintaining the white race is the key to a further existence of a civilized society 
3313,love white genocide  also see this 
4120,the lgenpresse has never had any problem demonizing white america and celebrating criminals and terrorists and trying to silence us
126,now they are calling for an invasion  this is white genocide  
177,white selfhate  master stroke of the george lincoln rockwell whitepeople whitepride wpww
2621,hope in hungary  rapefugees refugees wpww whitegenocide
5628,hurry why travel to middle east enjoy thrill of beheading  rapes right in your town vote for hillary
3492,her whole twitter history is crying about white people to white people on white peoples invented technology in our white founded country 
3379,what  im not allowed to hate illegal aliens  i hate muggers too  in fact i pretty much hate all criminals
814,i am a moderate white supremacist the only continents that need to be white are europe  n america  afri
3660, white america is waking up  white people are losers in black run america tcot ocra gop teaparty
2017,nice frankfurt school esque deconstruction and pathologization of white identity  looking forward to the same for blacks and jews  u wont 
5456,end sanctuary cities no short cuts not fair to other immigrants following proper legal immigration policies
5252,not if they want to keep their seats will vote them out asap vote out all daca illegal supporters americans first maga
880,the african dream is a chance to move to america or europe to live under white privilege  civilization
1392, bloom thanks g  d that america is not an ethnostate then ponders various fake forms of unity that leave jew
2785,you guys seem really cool  how can i join your white power party 
6256,Youre actually very pretty Most dark skinned girls dont have your looks
4702,wow i have been looking for you for 8 years you are right obama is a coward so why did blacks vote 95 twice for him how many christians
6221,Person cutting my hair So are you seeing anyone Me Not since things ended with my last boyfriend It was complicated he was from Afghanistan Person cutting my hair And he was a terrorist I was going to say that a close family member had died in a bombing and he had to go back to Kabul But I guess terrorist works
6093,what is a muslim s favourite band  the taliband  their performances always blows the audience away
3555,the great dilemma of the democrat is to turn america nonwhite while still needing white votes to do it 
1972,everybody wanted to hate the white man  but its the white man who you run to for protection  seems about white
3330,not to mention jews are listed as whites  so the white per capita number is already distorted 
833,integration  assimilation will eventually lead to white extinction 
6332,Why do women always show there curves Every time I walk down the street I catch myself stairing at a girls tits or ass why cant we be like Islamic countrys where women where berkas
2771,white pride website
3676,because too many of them are    white    
121,my white privilege  see theres that again you know absolutely nothing about me or my family but im racist and get white privilege lol
903,were going to have to raise the white consciousness of the morcucks 
6115,why are women like clouds  because they dampen your day when they re around but once they re gone the day is much better 
4928, what if one of those animals is gay or belongs to a jewish family is it still cruel
1823,its all fun and games as long as the muds are terrorizing whites that is the jew plan but when they turn on the jew all of a sudden they are terrorist
3662, gaytriot front  white nationalist
3549,thank you  i didnt know that part of the story  likely if most immigrants were coming from ireland  poland there wouldnt be such craziness
6250,Youre going to be the expert on all things African American
5402,to be quite plain this fat shit should be deported preferably to iraq
4074,he is  moderate  in only wanting to kill the infidel  nor torture and then kill them  very humane 
2915,please forward to all known white patriots  26  05  2012  white unity gig with us  german  slovak and hungarian bands
3075,he was embraced by conservatism  conservatism and lefties love lgbt  not us
4529,those guys are not human beings theyre meatrobots with low iq unbelievable that they even exist s
1454,im 996  white  so i want 4  of all those sweet white gibs  be my ally sarah  accept your privilege and help me beat the system  resist
4157,no they are illegals
1105,russia is the new boogieman because they are financial threat pulling petrodollars away  immigration and white hate will be end of west 
4417,ok keep believing that funny how most poc that have made something of their lives normal ones dont play that garbage dont be a criminal and work hard and you can have a good life a life like any other race but blacks have been taught to blame others for their failures
2234,they simply need to enforce the border laws  reverse antiwhite  antifamily propaganda  spencers opinion is not realistic 
4524,i believe it is a combination of heredity culture and tradition things which blacks clearly lack see detroit
4807,oooohh no thats just their welcoming committee religion
5813,Ive just realized that Indians are an hybrid of white people and black people They are smart like a white man work like a black man and they have brown skin like a mix of races
3138,stop the white genocide  wpww
5602,they can get in line pay and wait all the years i had to to get my citizenship i have no tolerance 4 illegals  their disrespect 4 usa
4760,youre just jealous you dont have a cute blonde to hose you down with tan
1357, 15 of the 19 hijackers were saudi arabiasaudi arabia is our   ally   
4735,correct theyre not so why are they here get rid
4964,no more lies and propaganda these are not american kids and it insults every veteran to say they are they are illegals
5789,Illegal immigration has soared back to preTrump levels because NOTHING is being done about it Theyre not afraid
1305,thank you for your all white video  now deport yourselves  youre not native american  youre breaking your own law  leave 
434,jews right now throw muslim  arab against white  christian
5573,that means the daca people only not amnesty for all and the daca people wb processed to the fullest extent fee and investigation
997,a non white pretending to care about a white ethnostate for sake of argument 
3464,as it was intended  whitegenocide kalergi
1470,jews and mudslims united against white civilization
3728,indigenous people dont realize if they want to live a comfortable capitalist nuclear family life  they must also support nazism 
4426,i kinda like your idea limiting population growth to save the environment we need to sterilize democrats
3833,flint bonestown will show white perspective on current  leftist agendas
18,   we must have an allwhite america  in which our children and our grandchildren will play and go to school with other white children     glr 
3506,im sharing this  but im not going to make a comment about politics and diversity and how you cant have european culture without europeans  tcot altright art history
5706,it does make me want shout on the streets hey everybody yeah i love every one i would probably be arrested 4 inciting a riot
1346,yes it is  white pride 
2798, rt  is a communist jewhater who supports the   palestinian   jihad   you demonize us  bravo  
5322,we kill we go to jail they slaughter us and get rewarded miss me with this nonsense
5997,Why are black fathers and Shaqs free throw attempts the same Theyre always missing
2547,cuckservative  a person who wishes for americas return to 1950s values  strength  without admitting the nation was 90  white then 
2670,my ancestors waged a war against the british to gain freedom to establish a representative constitutional republic called usa  did yours 
3255,but hate speech and violent acts of hate perpetrated against white people is just fine with the scumbag
2134,bill warner  phd  moderate muslims cannot save us foxnews cnn abcnews kafir
1109,shri is hindu minded and he will take right action  some in bjp are useless no doubt 
2054,truth is in understanding and the is that and more  ignorance is inexcusable  rasing the bar of excellence in whitepride
5267,if you even pay taxes hermangutierr
4247,only a man  a woman can produce  sustain humanity under gods plan thats why its gods planto argue gods plan is insanity
2365,europe should be white  your colonies are unnatural  unsustainable 
6155,what happens when you boil a cabbage  i do nt know  a japanese guy stabbed him before i could find out 
1170,       david duke  the racial murder and rape of white women in america via   
488,this whole narrative that daca people do so much for our economy is just not true  most are more racist than any white person in 2017 
2104,istandwithcommonsense it is not islamophobia when they really want to kill us
959, rt jewish money flooding presidential campaign  lindsey graham jokes he will have   alljewish cabinet    
5671,they should be hit in the face when its quite obvious you better punch her 1st before she does you selfdefense
647,nothat would be outrageous  since they have no citizenship rights and pay no taxes  who represents american taxpayers 
520,    multicultural horror  20 nonwhite muslim   refugees   rape 11 year old swedish girl in bathhouse  kill that rubbish  
134,so  welcome to the real world  this is what todays immigrants want to do to whites
3141,the employment nondiscrimination act  enda  a threat to free markets and freedom of conscience and religion
1959,black on white crime  specifically targeted because theyre white 
3914,its funny how jews are white except when a chance to exploit muh 6 gorillion arises and then they become a separate group 
6261,There are scholarships available solely for black men black women only women Hispanic men and womenbut if there was a scholarship that only a white man could apply for I bet it would cause an uproar Just sayin Is this fair in todays day and age What did my generation do to oppress any specific group of people Isnt it time for equality across the board
4527,it is an eyewashu can trust a snake for a moment but never pakistanipakistan is fountainhead of glo
2351,compensation for holocaust victims deported by rail company  seems they just found other source to milk some o 
4874,on the ones and twos coming straight to you to keep those keto blues far away all day everyday clanging and banging huffing and puffing my man pots and pans the one the only the tidiest whiteiest this side of the trump wall he has it all tight whitie
5172,bs illegaldeport now
1314,the most oppressed demographic in the us is the white workingclass
1185, rt must read    illegal alien    the proper terminology 
3074,guidestar using a hate group  southern poverty law ctr  to identify christian  prolife  pro constitution group and mislabel them 
4813,yes tell me who puts their kids in water only when the water is safer than the land
5221,lets end sanctuary cities for good americans come first let illegals come in the rig
3488,for all people who dont know us we are the the nnp  we are the supporters of the by passing there messages to other white people 
490,wave of black mobs brutalizing whites rt tcot tlot teaparty ocra
901,we hate white people liberalismin4words
4809,dont worry that fake fearless girl statue funded by wall street bankers will stay up
999,afrikaners establish exclusive allwhite community in orania  south africa via
5580,time to suspend all immigration for 50 to 100 years
5595,once they are deported how can they repay their loans
496,white alabama is counting on you  
1438,following the jcc arrest  can we be smarter about antisemitism  via
6128,a black guy goes to a doctor s office to get a vasectomy  he shows up in a limo wearing a tuxedo  when it s his turn  the doctor looks at him and says   i ve seen a lot of things  but i ve never seen a guy coming in all dressed up like that   and the black guy says   well  if i m gon na be im  po  tent  i m gon na look im  po  tent  
1576, rt    african immigrants brutally beat white people in melbourne home invasion via   
2638,islam phobia  is going to kill you
3908,infiltrator black politician wants antiwhite ethnic cleansing in estonia  read more 
5276,deport the bums
3080,hitler was germany  germans shall rise again 
5708,we should militarize our borders  transfer all basic training to the border states  use patrols and apprehensions as part of basic 
4971,where are the american gunowners when a filthy mudslime goes all allahooakbar
3864,blm  1million dollars would go along way to help in your causes  i guess illegals are more important  crickets
4639,islam breeds people like him
5659,the courageous should meet with to discuss islamic facts name the enemy to defeat it biblical trump
1558,yay no amnesty  make yourself illegal or go back to where you came from  we need an honest country not a bunch of liars  thieves  killers
4923,so should legal aliens sue our immigration dept for making them pay financially and waited for years
588,cuomo  do you like you ny state now  without white heterosexual christian republicans 
913,white civilization is in decline  wakeup whitepeople
2784,you go guys  white power
2617,heather heyer is a martyr to a big fat lie concocted by the anti white liberal media  th
1812,i really hate neocons like  but not black people  it is not your fault that you are black 
915,white lives matter business card looks most excellent and worth ordering from the new order in milwaukee wi  usa
5271,set them free after a train ride to the border
5467,careful it probably has aids
5872,What is the difference between Santa Claus and jews Santa comes down the chimney
268,i literally read a tweet from a lefty beggging for it to be a white male 
2025,our next challenge is to make the altright not just something you believe  but something you do  each must work toward our advancement 
1718,what about white americans  oh wait  thats  white supremacy  to talk about white interests 
2917,robert spencer beheaded someone for not being jewish  fascinating  this hypocrisy 
1899,white supremacists were less than  02 of the pop before they amped up the war on white people  that numbers tripled  they are forcing this 
6223,Shes a girl of course she has mood swings
1707,uhm  i wonder what percentage of white nationalist  racist knuckle draggers are progressives  my guess  less than 1  u 2 care to guess 
4244,he wont do it mooslimes are scared of dogs
6207,what do you call a muslim feminist  dead 
1618,black lives matters is run by lesbians 
5045,it has one useful purpose fancy toilet paper ban islam islam bad
2935,the koran is the truth about islam and muslims  every kafir should read it  better than a stephen king terror novel 
5225,suregive all the illegal aliens more freebies and let our vets go without care
6156,offensive joke  well  i hope anyway a little black jewish boy says to his daddy   dad am i more black or jewish    why do you ask    says the dad  the boy says   well a guy at school has a bike for sale for  number and i ca nt decide if i want to haggle him down to  number or just steal it  
1526,this is potus obamas legacy  illegal criminal murderers of americans 
3724,ill discuss it with you  why are white men the only group in america not allowed to adv
4907,3 years actually we ready to swap the palestinians with mexicans but no canadian they too weirdo
3267,europe must rise before the lovely white race is completely destroyed
4387,the one on the left is european nostalgia the one on the right is the latest in african technology
3600,white people in britain resisting propaganda to racially miscegenate  figures show  more 
4109,pakistani sexgang attacks covered up for fear of racism swrm via
3322,my ancestors conquered this land  why would i squander my inheritance 
5005,put mexican hats on the machines and drive on
3511,im a proud black man that worships europe  white people and white women 
1010,and lets in only rich white immigrants  keeping out the undesirable  nonwhite poor which is its ultimate goal 
87,i support the alt right aspersions for portion of us to be all white ethnostate  even
1943, stuff black people dont like  sbpdl  newark in 2012  the predictable result of freedom   t 
3042,another jew admits to white genocide being their goal  must watch  immigration racism
238,americans  white people  this is our country  everybody else are guests 
4067,detroit  the death of white civilisation  read more  via
800,dressing like their dads or milton from office space  they selling me annuities insurance along with the ethnostate 
291,oh how i wish a man with a machine gun was there  wake up white people  they hate us 
4946,too bad breeding islam out of existence would have worked
3956,sweden  once a proud scandinavian country  has fallen to disgrace  americans  hold on to your heritage  there is hope 
4890,great zero is a great number i mean dont we have enough illegal immigrants to offset the legal immigrants
3556,the immigration act of 1790 stipulated white but by further law never defined  unfortunately jews were considered white
3398,why  send the illegals with a free bus ticket   1000 and tell them berkeley liberals are easy  win win  they can never tell
6285,After you strip off his makeup and clothes biologically hes still a man
557,a very simple question  to you  is it ok to be white 
4855,you mean illegal immigrants stop mixing legal immigrants who have nothing to fear with illegal immigrants on food stamps
427,im new to white pride but eh blacks are taking over washington state slowly every man needs a black slave i believe
4481,what have blacks built
4754,shes an abrahamic what were you expecting lol  
3034,aint that america  the virtue of five white men  its no secret around here that america is antiwhite  this 
2159,i saw you at a gay night club  how can you be muslim  homo
2358,diversity is code for antiwhite 
4146,yes  those immigrants are getting paid to live here and most americans are struggling to live 
2103,british imam tells media that muslim rapists are motivated by race and religion przez islam
2079,youth are hungry for a white resurgence  we are the future 
463,radical radical radical radical radical radical muslims cheer terror bombings in boston
1100,people should move to more diverse continents like africa  98  black   they are so much better with human rights 
4376,barbarians under a barbaric religion when were they not going to be a threat to the civilised world
3795,white genocide accelerates in france  at least 1 in 3 newborns are nonwhite  more  via
5263,yes now deport these leaches
3545,smh you libs are totally disgusting  i doubt any illegal offered to die for you  maybe kill you but not die for you 
3199,   diverse   britain  black gangs to be rewarded with free barbecues and sports events  more  
1205, irs outreach tries to get illegal immigrants to file afire teaparty p2
3033,after sanjose  nevertrump sides with mexican nationalists attacking their own people 
1765, black slavery only matters when it can be blamed on white southerners  or when it can make white sj
5235,do you believe that all muslims are enemies of the united states and that all muslims must be expelled from the us
657,people that only consider and believe info from jews and the establishment have problems even entertaining what i say
1574, of course trump is not   your guy    only fools could imagine a  white friendly  candidate emerging from jew cesspit  nycity 
3672,are you racist for criticizing an idea  rt stopislam billwarnerphd makedclisten cspi
3119,nobody will take white identity seriously if you yell muh jew for every issue  we need to talk about how great our culture is 
5944,A white man and a black man play hide and seek at night Who has the advantage The white man as the cops are on his side
4452,seriously why can black people succeed in athletics like in the bcs championship but not in math or science
147,theres tons of documented evidence that the white race is under attackthe straight white
3584,were looking through these data right now  its clear though that even w  arabs classed as whites  whites are underrepresented per capita 
457,oh no  if youre not black enuf  am i not white enuf to be a racist  this is a disaster  this is going to make skin color mean nothing 
2177,jews who are prowestern dont join those organizations  they join organizations like because they see themselves as white 
3596,white heritage and history go beyond the founding of america  usa was founded on the westernized european framework  identity evropa isnt a
4582,master obama wants a cheap labor force for his plantation smile  be happy while u work
3457,america is the name for the historical anglo protestant nation  the country  the usa  should be white 
3688,deplorables dont need white supremacists trying to give us a bad name  you are worthless just like antifa and black lives matter  go away 
3123,ohio needs to be white again 
1792,diversity means less white
4610,as if the wall going to stop illegal aliens like  great wall of china stopped mongols
4219,turning into a cesspool over there because of their diversity they bring their 3rd world habits with them
2581,antiwhite race war slasher music clip teaches black children to hate and massacre whites va
3066,did you all hear the bs the media is spreading about our fuhrer  micropenis
4448,the latest wombat world  thanks to muslim islam
2304, rt they couldnt make their message more clear    we are trying to replace and destroy white people because we hate you and what youve built    
2818, allwhite town fights to preserve segregation in the antiwhite new south africa
2888,jewish harvard professor wants to abolish the white race  via
3073,google is censoring us  911 anniversary coming up  gonna be a muslimbrotherhood circlejerk
2266,yes we dont to be invaded my wife is white blonde and 2 mexican girl are trying to get her fired by saying she called them racist to hr
6306,Why cant you act like a normal person You dont have Aspergers Theres nothing wrong with you Youre just looking for attentionexcuses If youd just stop behaving so oddly you wouldnt need to blame it on a disease
5466,cut all fedfunds to sanctuary cities arrest mayors violating fedlaw check their bank accounts for illegal donations contact
572,anything prowhite is automatically labeled  hate      they    hate white people 
3339,sadly this is what the older jewish sect wants  a black on white race war
3638,aryan men  women will either rise up to fight for their heritage  children   future  or the white race will cease to exist  your choice 
4673,pastors take note white architect designed your churchwhites built itwhites paid for it whit
4815,believe this is a great idea drug money can build the wall and then some
3336,ramadan begins in afghanistan  muslim murder 18 with jihad suicide car bomb
4857,you crossstraddlers dont do readins well do you
626,islamist infestation in white house  rt stopislam crusades makedclisten wakeupamerica
1815,if jews and arabs want war w each other  please go ahead  but not in white countries  w  o us 
2300, rt berlin  muslims chanting   allahu akbar      jew  jew  coward pig    hitler would be proud  trumpaddress jointaddress 
656,overpopulation will eventually produce misery for these people once we cant take care of them  sterilization in exchange for food perhaps 
5288,the only thing they should be entitled to is a swift deportation
4132,weknowwhoisbehind plot 2genocide white race
563,american diversity work in progress  black teens kill white girl for bicycle via
1006,alternate title  dead jew generates monetary gains for living jew
1482,muslims will not condemn koranic verses  making them all part of the problem 
3631, rt  trump is white  hes   racist   by defaultanti  racist is a code word for antiwhite  
3343,shut it down  as the jewish media loses power  alternative media comes under attack via
4997,we should give every intolerant muslim that choice go back or try to be a productive american
849,looks like it was a big weekend worldwide for muslim terrorist crimes  as usual the world turns a blind eye to these people 
1976,form pagan clubs  cant deny clubs based on religion and nonwhites cant be european pagans 
3548,stop the white genocide in south africa   video  via whiteresister
1654,just fyi israel and jews did 911 and blamed muslims to justify the global war on terrorism
2740,us appeals court revives holocaust suit against hungary via withjewswelose
4785,and if some horny lesbian watches you pee youre in with it not disgusting at all duh
2715,the comment was more of a conditional  white people must not be fractured or well may
4870,yeah how dare those extreme left wingers jump in front of a car driven by a poor ickle innocent nazi 
6145,what s the difference between harry potter and jews  harry escaped the chamber
164,what about the betsy ross flag  though  backtobasics white nationalism  13 white ethnostate
4028, rt   i only care about freedom    name one white area that kept western freedom after whites lost control     blocked  you racist    cuckservative 
2227,the violent ideology that threatens human life has to be stopped  where ever it is taught  if mosques  so be it 
1102,putin discusses the impending genocide of the white race
5928,A black man walks into a bar with a parrot on his shoulder Bar tender goes he man thats neat where did you get that   The parrot says Africa there all over the fucking place
2243,true  its the white thing to do is help ur brother or sister out
3632, rt who believes this utter bs  the fake   holocaust   narrative is the most egregious and outrageous lie ever perpetrated against the world 
1971,elder you are absolutely right  race has been a tool of the democrap party to villify white people and foster division 
4369, there is no accountability system thats why its a swamp
1889,white identity will not be    deconstructed   
3412,your wrong and the white guilt agenda you push is what woke me  must suck to not even know your actions are not of your own  but socially engineered  now dance robot
5707,omg i didnt realize the infection had spread that far we need a cure fast we need a good dose of maga
5152,bansharialaw deport all moslems
3655, no apologies here  ridiculous that white people are the only race not allowed to be proud
2237,this thing is crushing  feels like a big defeat  all sides denying altright viewsfromthenotsogreatwhitenorth
510,why is it the jews  catholics of europe wanted to come to a country founded by evil white nationalist protestants  scalise
1565,   diversity   is code for no more white faces  the white race is the only race that has genuine diversity  tcot ccot 
3285,i live in maxine waters district  shes always been one of the most racist politicians in america  to her hating white people isnt racist 
3528,no  just londoners  where being white  british  proud sees you proclaimed a racist big
1463,in white power by rockwell  chapter called  nightmare  is coming true  all out black on white war  prepare now 
3416, and by too racist he means   not devaluing white people enough    
5844,What do you say to a woman with two black eyes Nothing you already told her twice
2659,look how happy she is  tears of joy  nazi nazis4lyfe
1047,here we see the marxist use his divide and conquer method  hes trying to disunify whites  easier to prey on whites that way 
863,pl  rt and trend permanently giveupislam
1987,id disagree  i enjoy following him to see his paranoia and persecution complex that all white people are against him  the brutha tweets nothing but anti white  alleged ws and anyone who is contrary is a ws  his hate furthers racism and brings no one closer together truedat
2545, when islam is just   stuff white people like   via 
5182,i hope they get the book thrown at them and after they serve hopefully long sentences hope they get deported back where they came from
3931,new black panther leader says hes gonna hunt down and kill white people  full story 
3845, nigeria  jihad  martydom bomber murders six at newspaper office  in america  the newspapers are the jihads best  ht 
2652,john friends blog  jews in the obama administration
1696,the only whites who are declining are white liberals  white conservatives and everything to the right of them are multiplying  whites of tomorrow will be fewer but they will be far more right wing and far right  everything is going our way
1770,a huge errorracial groups are loyal to their blood first  its natural for a racial group to strive for domination 
1272,its funny how many triggered liberals there are in the comments  antiwhite buffoons 
5555,amen they should be ran out of this country right alone with them they are traders to our president and the united states
5812,Whats the difference between a Jew and a pizza The pizza doesnt scream when its put in the oven
1302,solidarity from this side of the atlanticdefense of american heritage is defense of european heritage in america  theywillnotreplaceus
4983,nothingtodowithislam of course just ask obama if you can find him hes on a golf course somewhere
518,yup  race is real  were not concerned with your race or other races  we are concerned with white growth  population 
1695,the democratic base does not want a white  especially a white man  to represent them 
5210,for regional peace and security all sanctuaries safe havens and support to such terrorists must end
2253,white nationalists would make a far better and more liveable america  better than some multiracial sewer 
2389,im white stupid  tell you what  we will give you an extra welfare check and you move to a white country 
897,this whole antifa is run by jews is more of the same white su
6241,No offense but thats seriously gay
3732,it was a white country  the founding fathers made this a white country  and it will be so again 
3041,and the fact that there were more white slaves in the middle east than black slaves in america
2094, isnt that funny  u will believe hes guilty  if hes not it had 2b bcuz of   white privilege    so hes guilty 2u no matter how it turns out  ur neither tolerant nor excepting  u r the very epitome of racist  ill tell u what  let me know where the white privilege line is  i need it  
4343,hitler would have never sacrificed one of his own people to a turkish dog
4839,gd forbid a child might actually think of gd on the playground and we cant have that kind of religious statism now can we
3515,last attention you get  youre whats destroying white people  you make blacklivesmatter look like
4776,they get free educations grants while american young adults can not oh poor illegals they only want to better themselves get out theives
1619,build the wall  deport them all  dont let them take away our machine guns  2nd amendment
2013,modern definition of racist  any white person who doesnt hate other white people enough to please leftists and nonwhites 
5078,i think itll be covered once all the illegals are out
1150,white power brothers
479,the south has already risen again  dixie has an economy larger than germany  we just need independence
3940,pakistani gangs rape of white girls was not racist  says sentencing judge via
5012,oh great another magnet to attract the wrong kind of people we want in the us we will never sol
1570, funny how its   racist   to get the white vote  while they openly want the votes from jews  blacks  hispanics  etc  
2980,you people should see how the social justice warriors are making white people look and how they are ignoring white people 
2655,leibstandarte adolf hitler tshirt from the white resister  read more 
1275,jared you must reconsider naming jews white
3365,this is just another good reason for white southerners to quit giving their money to the nfl 
4026, replace   jew   with   cis white male   and you sound no different from an sjw  
2860,god those darn white devils getting jobs  promotions lower acceptance scores just because of theyre race  oh wait 
1424,bradford  80  of children sexually exploided are white  rape jihad
1514,the  white lives matter  rally tomorrow is going to be a disaster  griffin   is actively destroying white identitarian movt 
2347,blacks need pull up there pants  take a shower  put down the crack pipe get a job and stop assuming us good white folks racist 
5907,Why are all women left handed Because they dont have rights
4429,zog and its agents have through their jungles of destructive regulations  inefficiencies cheated us all of our nations wealth  resource
